_id,codigo,descripcion,precioVentaBase,TARIFA SAVIA SALUD
uzrTRFAfCoiAfPKY5,2090001,STENT CORONARIO ANGIOLITE 225X14MM REFSCC DSR14 150 225 014,2858499,1224000
XuqatSbi7q2Ag4M9f,2090002,STENT CORONARIO ANGIOLITE 225X19MM REFSCC DSR14 150 225 019,2858499,1224000
86QAQJpuGZveFXDG7,2090003,STENT CORONARIO ANGIOLITE 225X24MM REFSCC DSR14 150 225 024,2858499,1224000
ETaWwTPftTEdDLAH8,2090004,STENT CORONARIO ANGIOLITE 225X29MM REFSCC DSR14 150 225 029,2858499,1224000
W2f57iXQqpEp9CJ32,2090005,STENT CORONARIO ANGIOLITE 225X34MM REFSCC DSR14 150 225 034,2858499,1224000
8PEotkoZDzTMG32nH,2090006,STENT CORONARIO ANGIOLITE 225X39MM REFSCC DSR14 150 225 039,2858499,1224000
x9DWMpyQLGXgMmPP5,2090007,STENT CORONARIO ANGIOLITE 225X9MM REFSCC DSR14 150 225 009,2858499,1224000
ELWKPCgXA3YmhS444,2090008,STENT CORONARIO ANGIOLITE 250X14MM REFSCC DSR14 150 250 014,2858499,1224000
cBC7uM4QQBtNmxFuH,2090009,STENT CORONARIO ANGIOLITE 250X19MM REFSCC DSR14 150 250 019,2858499,1224000
giaEpWmbFWCiFY2t5,2090010,STENT CORONARIO ANGIOLITE 250X24MM REFSCC DSR14 150 250 024,2858499,1224000
DSynDyTkz6zjh4cCN,2090011,STENT CORONARIO ANGIOLITE 250X29MM REFSCC DSR14 150 250 029,2858499,1224000
9xKGZC9bxfSJsBBRx,2090012,STENT CORONARIO ANGIOLITE 250X34MM REFSCC DSR14 150 250 034,2858499,1224000
JAAwRTh9XyRhXcX9m,2090013,STENT CORONARIO ANGIOLITE 250X39MM REFSCC DSR14 150 250 039,2858499,1224000
mT2wRBf9PKLeuB7xo,2090014,STENT CORONARIO ANGIOLITE 250X9MM REFSCC DSR14 150 250 009,2858499,1224000
